tipo,bairro,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,area_por_quarto,tem_vaga,valor
Casa,Campeche,0.0,200.0,3.0,4.0,3.0,50.0,1,9800
Apartamento, Capoeiras,330.0,54.0,1.0,2.0,1.0,27.0,1,1550
Apartamento, Ingleses do Rio Vermelho,0.0,65.0,1.0,3.0,1.0,21.666666666666668,1,3000
Apartamento,Campeche,950.0,84.0,3.0,2.0,1.0,42.0,1,5500
Casa, Campeche,0.0,130.0,3.0,3.0,1.0,43.333333333333336,1,4600
Casa, Campeche,0.0,45.0,1.0,1.0,2.0,45.0,1,3650
Apartamento, Saco Grande,350.0,15.0,1.0,1.0,1.0,15.0,1,1580
Casa, Córrego Grande,0.0,260.0,4.0,4.0,2.0,65.0,1,5500
Casa, Joao Paulo,0.0,280.0,3.0,4.0,2.0,70.0,1,9800
Apartamento, Campeche,270.0,40.0,1.0,1.0,1.0,40.0,1,2750
Apartamento, Carvoeira,300.0,45.0,1.0,1.0,1.0,45.0,1,1900
Casa, Jurerê,1300.0,400.0,4.0,3.0,2.0,133.33333333333334,1,19000
Apartamento, Ingleses do Rio Vermelho,200.0,137.0,2.0,3.0,2.0,45.66666666666666,1,3400
Apartamento,Capoeiras,700.0,68.0,2.0,2.0,1.0,34.0,1,3300
Apartamento, Lagoa da Conceição,250.0,51.0,1.0,1.0,1.0,51.0,1,2500
Apartamento, Córrego Grande,430.0,68.0,2.0,1.0,2.0,68.0,1,3500
Apartamento,Abraão,530.0,70.0,1.0,2.0,1.0,35.0,1,1700
Apartamento, Saco dos Limões,700.0,71.0,2.0,2.0,2.0,35.5,1,2950
Apartamento, Centro,850.0,73.0,2.0,2.0,2.0,36.5,1,4050
Apartamento, Campeche,877.0,106.0,2.0,2.0,2.0,53.0,1,7300
Casa, Lagoa da Conceição,0.0,100.0,2.0,3.0,1.0,33.333333333333336,1,3400
Apartamento,Lagoa da Conceição,450.0,67.0,2.0,2.0,1.0,33.5,1,3600
Apartamento, Ingleses do Rio Vermelho,700.0,98.0,3.0,3.0,2.0,32.666666666666664,1,3600
Apartamento, Trindade,600.0,91.0,2.0,3.0,2.0,30.33333333333333,1,3500
Apartamento, Agronômica,477.0,39.0,1.0,1.0,1.0,39.0,1,2750
Apartamento, Canasvieiras,350.0,60.0,1.0,2.0,1.0,30.0,1,2360
Casa, Centro,0.0,126.0,3.0,2.0,1.0,63.0,1,4100
Apartamento, Morro das Pedras,634.0,39.0,1.0,1.0,1.0,39.0,1,2700
Apartamento, Campeche,600.0,72.0,2.0,2.0,1.0,36.0,1,4600
Apartamento, Saco Grande,678.0,73.0,2.0,2.0,1.0,36.5,1,4500
Apartamento, Trindade,530.0,82.0,1.0,2.0,1.0,41.0,1,2100
Apartamento,Ingleses do Rio Vermelho,220.0,69.0,2.0,2.0,1.0,34.5,1,1380
Apartamento, Centro,1062.0,113.0,3.0,2.0,2.0,56.5,1,6500
Casa,Trindade,0.0,483.0,7.0,7.0,2.0,69.0,1,9000
Apartamento, Saco Grande,350.0,15.0,1.0,1.0,1.0,15.0,1,1580
Apartamento, Campeche,1000.0,98.0,2.0,3.0,1.0,32.666666666666664,1,7000
Apartamento, Centro,1600.0,109.0,4.0,3.0,1.0,36.333333333333336,1,6000
Casa, Rio Tavares,0.0,120.0,4.0,3.0,2.0,40.0,1,5800
Apartamento, Campeche,650.0,70.0,2.0,2.0,1.0,35.0,1,4600
Apartamento, Centro,557.0,69.0,2.0,2.0,2.0,34.5,1,4390
Apartamento, Centro,600.0,69.0,5.0,2.0,1.0,34.5,1,3200
Casa,Jurerê Internacional,0.0,450.0,6.0,6.0,2.0,75.0,1,8000
Apartamento, Canasvieiras,1800.0,560.0,5.0,4.0,2.0,140.0,1,23000
Casa, Saco dos Limões,114.0,65.0,1.0,2.0,1.0,32.5,1,2500
Casa, Campeche,0.0,130.0,3.0,3.0,2.0,43.333333333333336,1,4900
Apartamento,Estreito,690.0,100.0,3.0,3.0,2.0,33.333333333333336,1,5500
Casa, Carianos,0.0,83.0,2.0,2.0,1.0,41.5,1,2850
Apartamento, Centro,1499.0,156.0,3.0,4.0,2.0,39.0,1,5600
Casa, Santa Mônica,0.0,140.0,3.0,3.0,1.0,46.66666666666666,1,5180
Apartamento, Abraão,1012.0,96.0,3.0,3.0,2.0,32.0,1,4200
Apartamento, Rio Tavares,250.0,40.0,1.0,1.0,1.0,40.0,1,2100
Apartamento, Campeche,50.0,55.0,2.0,2.0,1.0,27.5,1,2390
Casa, Campeche,0.0,472.0,3.0,4.0,2.0,118.0,1,9000
Apartamento,Campeche,1100.0,98.0,2.0,3.0,1.0,32.666666666666664,1,5200
Casa, Campeche,600.0,172.0,4.0,4.0,2.0,43.0,1,6500
Casa, Santo Antônio de Lisboa,1515.0,270.0,4.0,3.0,3.0,90.0,1,13500
Apartamento, Ingleses do Rio Vermelho,250.0,94.0,2.0,2.0,1.0,47.0,1,4439
Apartamento, Campeche,600.0,91.0,2.0,2.0,2.0,45.5,1,5800
Casa,Campeche,0.0,125.0,1.0,3.0,3.0,41.66666666666666,1,7500
Apartamento, Canasvieiras,0.0,55.0,1.0,2.0,1.0,27.5,1,2800
Apartamento, Canasvieiras,0.0,45.0,1.0,2.0,1.0,22.5,1,1380
Apartamento, Ingleses do Rio Vermelho,770.0,90.0,2.0,2.0,1.0,45.0,1,3190
Apartamento, Lagoa da Conceição,150.0,50.0,1.0,1.0,1.0,50.0,1,2750
Casa, Campeche,0.0,250.0,4.0,3.0,1.0,83.33333333333333,1,9500
Apartamento,Carvoeira,695.0,32.0,1.0,1.0,1.0,32.0,1,3000
Apartamento, Jardim Atlântico,496.0,80.0,1.0,3.0,1.0,26.666666666666668,1,2350
Apartamento, Joao Paulo,0.0,71.0,2.0,2.0,1.0,35.5,1,4500
Apartamento, Itacorubi,1100.0,89.0,2.0,3.0,2.0,29.666666666666668,1,4000
Apartamento, Ingleses do Rio Vermelho,305.0,30.0,1.0,1.0,1.0,30.0,1,1850
Apartamento, Capoeiras,630.0,105.0,2.0,3.0,2.0,35.0,1,3200
Casa,Rio Tavares,0.0,300.0,2.0,4.0,2.0,75.0,1,15000
Apartamento, Carvoeira,467.0,41.0,1.0,1.0,1.0,41.0,1,2100
Apartamento, Itaguaçu,400.0,52.0,1.0,1.0,1.0,52.0,1,1400
Apartamento, Centro,1046.0,43.0,1.0,1.0,1.0,43.0,1,2600
Casa,Campeche,0.0,137.0,3.0,3.0,1.0,45.66666666666666,1,5300
Apartamento, Jurerê Internacional,0.0,131.0,4.0,3.0,3.0,43.66666666666666,1,15000
Apartamento, Pantanal,500.0,52.0,1.0,2.0,1.0,26.0,1,2780
Kitnet/Conjugado, Trindade,0.0,18.0,1.0,1.0,1.0,18.0,1,1200
Apartamento, Centro,320.0,47.0,1.0,1.0,1.0,47.0,1,1600
Apartamento, Campeche,550.0,90.0,2.0,2.0,2.0,45.0,1,5900
Casa,Coqueiros,0.0,120.0,1.0,2.0,1.0,60.0,1,3000
Casa,Estreito,0.0,200.0,2.0,5.0,2.0,40.0,1,5800
Casa,Cachoeira do Bom Jesus,0.0,50.0,1.0,1.0,1.0,50.0,1,2200
Casa, Cachoeira do Bom Jesus,0.0,176.0,3.0,3.0,4.0,58.66666666666666,1,8000
Casa,Centro,0.0,70.0,2.0,2.0,1.0,35.0,1,3000
Casa, Costeira do Pirajubaé,0.0,114.0,2.0,4.0,1.0,28.5,1,3000
Apartamento, Jurerê,800.0,100.0,3.0,2.0,2.0,50.0,1,8500
Apartamento, Agronômica,283.0,37.0,1.0,1.0,1.0,37.0,1,3650
Apartamento, Coqueiros,959.0,112.0,1.0,3.0,2.0,37.333333333333336,1,4300
Apartamento, Centro,720.0,61.0,1.0,2.0,1.0,30.5,1,2600
Apartamento, Campeche,860.0,68.0,2.0,2.0,1.0,34.0,1,3800
Apartamento, Saco Grande,1725.0,171.0,3.0,3.0,3.0,57.0,1,4550
Apartamento, São João do Rio Vermelho,90.0,89.0,2.0,2.0,1.0,44.5,1,2800
Apartamento, Agronômica,1072.0,137.0,2.0,3.0,1.0,45.66666666666666,1,3500
Apartamento, Trindade,919.0,86.0,2.0,3.0,2.0,28.666666666666668,1,4600
Apartamento, Centro,1844.0,206.0,4.0,3.0,2.0,68.66666666666667,1,11000
Apartamento, Pantanal,800.0,63.0,1.0,2.0,1.0,31.5,1,2500
Apartamento, Ingleses do Rio Vermelho,580.0,118.0,2.0,3.0,2.0,39.333333333333336,1,6500
Apartamento, Abraão,1007.0,95.0,3.0,3.0,1.0,31.666666666666668,1,4300
Apartamento,Carvoeira,300.0,42.0,1.0,1.0,1.0,42.0,1,3000
Apartamento, Abraão,1290.0,187.0,3.0,2.0,2.0,93.5,1,3600
Apartamento, Joao Paulo,1000.0,82.0,2.0,3.0,2.0,27.33333333333333,1,3500
