,data,fonte,id,descricao,tipo,endereco,rua,numero,bairro,cidade,valor,periodicidade,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,url,amenities,categoria,valor_total,valor_m2,valor_condo_m2
5445,2023-12-05 00:43:50.438776,Vivareal,2668197700,"Apartamento com 2 Quartos para Aluguel, 55m²",Apartamento,"Servidão Tenente Mario José Valério, 70 - Estreito, Florianópolis - SC",Servidão Tenente Mario José Valério,70.0, Estreito,florianopolis,1900,Mês,0.0,55.0,1.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-estreito-bairros-florianopolis-com-garagem-55m2-aluguel-RS1900-id-2668197700/,,Residencial,1900.0,34.54545454545455,0.0
5446,2023-12-05 00:43:50.440959,Vivareal,2661653962,"Sala/Conjunto    para Aluguel, 52m²",Sala/Conjunto,"Praça Quinze de Novembro - Centro, Florianópolis - SC",Praça Quinze de Novembro ,, Centro,florianopolis,990,Mês,0.0,52.0,1.0,,,https://vivareal.com.br/imovel/centro-bairros-florianopolis-52m2-aluguel-RS990-id-2661653962/,Cozinha,Residencial,990.0,19.03846153846154,0.0
5447,2023-12-05 00:43:50.442709,Vivareal,2659420237,"Apartamento com 3 Quartos para Aluguel, 73m²",Apartamento,"Córrego Grande, Florianópolis - SC",,,Córrego Grande,florianopolis,3800,Mês,450.0,73.0,2.0,3.0,1.0,https://vivareal.com.br/imovel/apartamento-3-quartos-corrego-grande-bairros-florianopolis-com-garagem-73m2-aluguel-RS3800-id-2659420237/,,Residencial,4250.0,52.054794520547944,6.164383561643835
5448,2023-12-05 00:43:50.444316,Vivareal,2661006776,"Apartamento com 2 Quartos para Aluguel, 67m²",Apartamento,"Abraão, Florianópolis - SC",,,Abraão,florianopolis,2200,Mês,580.0,67.0,2.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-abraao-bairros-florianopolis-com-garagem-67m2-aluguel-RS2200-id-2661006776/,,Residencial,2780.0,32.83582089552239,8.656716417910447
5449,2023-12-05 00:43:50.445917,Vivareal,2656513108,"Lote/Terreno    para Aluguel, 1000m²",Lote/Terreno,"Campeche, Florianópolis - SC",,,Campeche,florianopolis,8000,Mês,0.0,1000.0,,,,https://vivareal.com.br/imovel/lote-terreno-campeche-bairros-florianopolis-1000m2-aluguel-RS8000-id-2656513108/,,Residencial,8000.0,8.0,0.0
5450,2023-12-05 00:43:50.447589,Vivareal,2666479295,"Sala/Conjunto    para Aluguel, 60m²",Sala/Conjunto,"Centro, Florianópolis - SC",,,Centro,florianopolis,3000,Mês,0.0,60.0,,,1.0,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-com-garagem-60m2-aluguel-RS3000-id-2666479295/,,Residencial,3000.0,50.0,0.0
5451,2023-12-05 00:43:50.449014,Vivareal,2656470087,"Casa com 5 Quartos para Aluguel, 650m²",Casa,"Rua dos Tambaquis, 400 - Jurerê Internacional, Florianópolis - SC",Rua dos Tambaquis,400.0, Jurerê Internacional,florianopolis,50000,Mês,0.0,650.0,5.0,5.0,,https://vivareal.com.br/imovel/casa-5-quartos-jurere-internacional-bairros-florianopolis-650m2-aluguel-RS50000-id-2656470087/,Piscina; Churrasqueira; Espaço gourmet,Residencial,50000.0,76.92307692307692,0.0
5452,2023-12-05 00:43:50.450675,Vivareal,2644955362,"Sala/Conjunto    para Aluguel, 57m²",Sala/Conjunto,"Rua Joaquim Carneiro, 120 - Capoeiras, Florianópolis - SC",Rua Joaquim Carneiro,120.0, Capoeiras,florianopolis,2600,Mês,0.0,57.0,1.0,,2.0,https://vivareal.com.br/imovel/sala-comercial-capoeiras-bairros-florianopolis-com-garagem-57m2-aluguel-RS2600-id-2644955362/,Elevador; Segurança 24h,Residencial,2600.0,45.6140350877193,0.0
5453,2023-12-05 00:43:50.452215,Vivareal,2668000101,"Casa com 2 Quartos para Aluguel, 180m²",Casa,"Santo Antônio de Lisboa, Florianópolis - SC",,,Santo Antônio de Lisboa,florianopolis,7000,Mês,0.0,180.0,5.0,2.0,2.0,https://vivareal.com.br/imovel/casa-2-quartos-santo-antonio-de-lisboa-bairros-florianopolis-com-garagem-180m2-aluguel-RS7000-id-2668000101/,,Residencial,7000.0,38.888888888888886,0.0
5455,2023-12-05 00:43:50.455371,Vivareal,2664501171,"Apartamento com 3 Quartos para Aluguel, 99m²",Apartamento,"Carianos, Florianópolis - SC",,,Carianos,florianopolis,3400,Mês,250.0,99.0,2.0,3.0,1.0,https://vivareal.com.br/imovel/apartamento-3-quartos-carianos-bairros-florianopolis-com-garagem-99m2-aluguel-RS3400-id-2664501171/,Condomínio fechado; Varanda; Ar-condicionado; Varanda gourmet; Salão de festas; ...,Residencial,3650.0,34.343434343434346,2.525252525252525
