,data,fonte,id,descricao,tipo,endereco,rua,numero,bairro,cidade,valor,periodicidade,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,url,amenities,categoria,valor_total,valor_m2,valor_condo_m2
0,2023-12-05 00:35:45.805864,Vivareal,2666858093,"Apartamento com  Quarto para Aluguel, 45m²",Apartamento,"Rua Doutor José Bahia Bittencourt, 231 - Canasvieiras, Florianópolis - SC",Rua Doutor José Bahia Bittencourt,231.0, Canasvieiras,florianopolis,280,Dia,0.0,45.0,1.0,1.0,1.0,https://vivareal.com.br/imovel/apartamento-1-quartos-canasvieiras-bairros-florianopolis-com-garagem-45m2-aluguel-RS280-id-2666858093/,Mobiliado; Elevador; Ar-condicionado; Jardim; Churrasqueira na varanda; ...,Residencial,280.0,6.222222222222222,0.0
1,2023-12-05 00:35:45.809017,Vivareal,2667204497,"Casa com 3 Quartos para Aluguel, 163m²",Casa,"Avenida Jacarandá, 781 - Daniela, Florianópolis - SC",Avenida Jacarandá,781.0, Daniela,florianopolis,1200,Dia,0.0,163.0,2.0,3.0,2.0,https://vivareal.com.br/imovel/casa-3-quartos-daniela-bairros-florianopolis-com-garagem-163m2-aluguel-RS1200-id-2667204497/,Mobiliado; Churrasqueira; Ar-condicionado; Jardim; Área de serviço; ...,Residencial,1200.0,7.361963190184049,0.0
2,2023-12-05 00:35:45.810856,Vivareal,2666962526,"Casa com 3 Quartos para Aluguel, 170m²",Casa,"Servidão Anhatomirim, 1 - Ponta das Canas, Florianópolis - SC",Servidão Anhatomirim,1.0, Ponta das Canas,florianopolis,900,Dia,0.0,170.0,2.0,3.0,4.0,https://vivareal.com.br/imovel/casa-3-quartos-ponta-das-canas-bairros-florianopolis-com-garagem-170m2-aluguel-RS900-id-2666962526/,Ar-condicionado; Cozinha; TV a cabo; Área de serviço,Residencial,900.0,5.294117647058823,0.0
3,2023-12-05 00:35:45.812210,Vivareal,2651506185,"Sala/Conjunto    para Aluguel, 74m²",Sala/Conjunto,"Rua Felipe Schmidt, 249 - Centro, Florianópolis - SC",Rua Felipe Schmidt,249.0, Centro,florianopolis,1350,Mês,0.0,74.0,1.0,,,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-74m2-aluguel-RS1350-id-2651506185/,Elevador; Copa,Residencial,1350.0,18.243243243243242,0.0
4,2023-12-05 00:35:45.813599,Vivareal,2666550499,"Cobertura com 3 Quartos para Aluguel, 108m²",Cobertura,"Servidão Laura Duarte Prazeres, 10 - Campeche, Florianópolis - SC",Servidão Laura Duarte Prazeres,10.0, Campeche,florianopolis,7000,Mês,0.0,108.0,2.0,3.0,2.0,https://vivareal.com.br/imovel/cobertura-3-quartos-campeche-bairros-florianopolis-com-garagem-108m2-aluguel-RS7000-id-2666550499/,Piscina; Churrasqueira; Aceita animais; Jardim; Área de serviço; ...,Residencial,7000.0,64.81481481481481,0.0
5,2023-12-05 00:35:45.814879,Vivareal,2666914698,"Apartamento com 2 Quartos para Aluguel, 64m²",Apartamento,"Rodovia Amaro Antônio Vieira - Itacorubi, Florianópolis - SC",Rodovia Amaro Antônio Vieira ,, Itacorubi,florianopolis,3900,Mês,680.0,64.0,2.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-64m2-aluguel-RS3900-id-2666914698/,Piscina; Mobiliado; Academia; Garagem; Ar-condicionado; ...,Residencial,4580.0,60.9375,10.625
7,2023-12-05 00:35:45.817365,Vivareal,2666963712,"Apartamento com 2 Quartos para Aluguel, 55m²",Apartamento,"Rodovia Baldicero Filomeno - Ribeirão da Ilha, Florianópolis - SC",Rodovia Baldicero Filomeno ,, Ribeirão da Ilha,florianopolis,2100,Mês,599.0,55.0,1.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-ribeirao-da-ilha-bairros-florianopolis-com-garagem-55m2-aluguel-RS2100-id-2666963712/,Playground; Interfone; Área de serviço,Residencial,2699.0,38.18181818181818,10.89090909090909
8,2023-12-05 00:35:45.818603,Vivareal,2666753001,"Apartamento com 3 Quartos para Aluguel, 95m²",Apartamento,"Rua Santos Saraiva, 494 - Estreito, Florianópolis - SC",Rua Santos Saraiva,494.0, Estreito,florianopolis,3900,Mês,468.0,95.0,2.0,3.0,2.0,https://vivareal.com.br/imovel/apartamento-3-quartos-estreito-bairros-florianopolis-com-garagem-95m2-aluguel-RS3900-id-2666753001/,Mobiliado; Churrasqueira; Elevador; Aceita animais; Ar-condicionado; ...,Residencial,4368.0,41.05263157894737,4.926315789473684
9,2023-12-05 00:35:45.819841,Vivareal,2666916709,"Apartamento com 2 Quartos para Aluguel, 70m²",Apartamento,"Rua Coronel Luiz Caldeira, 149 - Itacorubi, Florianópolis - SC",Rua Coronel Luiz Caldeira,149.0, Itacorubi,florianopolis,3700,Mês,550.0,70.0,3.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-70m2-aluguel-RS3700-id-2666916709/,Garagem,Residencial,4250.0,52.857142857142854,7.857142857142857
10,2023-12-05 00:35:45.821010,Vivareal,2499497529,"Ponto comercial/Loja/Box    para Aluguel, 24m²",Ponto,"Avenida Engenheiro Max de Souza, 906 - Coqueiros, Florianópolis - SC",Avenida Engenheiro Max de Souza,906.0, Coqueiros,florianopolis,200,Mês,0.0,24.0,,,2.0,https://vivareal.com.br/imovel/ponto-comercial-coqueiros-bairros-florianopolis-com-garagem-24m2-aluguel-RS200-id-2499497529/,,Comercial,200.0,8.333333333333334,0.0
11,2023-12-05 00:35:45.822238,Vivareal,2661560554,"Apartamento com 3 Quartos para Aluguel, 85m²",Apartamento,"Rua Professor Clementino de Brito, 205 - Capoeiras, Florianópolis - SC",Rua Professor Clementino de Brito,205.0, Capoeiras,florianopolis,3300,Mês,650.0,85.0,2.0,3.0,1.0,https://vivareal.com.br/imovel/apartamento-3-quartos-capoeiras-bairros-florianopolis-com-garagem-85m2-aluguel-RS3300-id-2661560554/,Mobiliado; Churrasqueira; Elevador; Condomínio fechado; Aceita animais; ...,Residencial,3950.0,38.8235294117647,7.647058823529412
12,2023-12-05 00:35:45.823439,Vivareal,2666916110,"Sala/Conjunto    para Aluguel, 85m²",Sala/Conjunto,"Rua João Evangelista da Costa, 798 - Jardim Atlântico, Florianópolis - SC",Rua João Evangelista da Costa,798.0, Jardim Atlântico,florianopolis,2200,Mês,0.0,85.0,1.0,,,https://vivareal.com.br/imovel/sala-comercial-jardim-atlantico-bairros-florianopolis-85m2-aluguel-RS2200-id-2666916110/,,Residencial,2200.0,25.88235294117647,0.0
13,2023-12-05 00:35:45.824657,Vivareal,2665293896,"Casa com 2 Quartos para Aluguel, 120m²",Casa,"Servidão Papaterra, 281 - São João do Rio Vermelho, Florianópolis - SC",Servidão Papaterra,281.0, São João do Rio Vermelho,florianopolis,700,Dia,0.0,120.0,3.0,2.0,3.0,https://vivareal.com.br/imovel/casa-2-quartos-sao-joao-do-rio-vermelho-bairros-florianopolis-com-garagem-120m2-aluguel-RS700-id-2665293896/,Mobiliado; Aceita animais; Ar-condicionado; Varanda gourmet; Cozinha americana; ...,Residencial,700.0,5.833333333333333,0.0
14,2023-12-05 00:35:45.825913,Vivareal,2639502357,"Casa com 4 Quartos para Aluguel, 155m²",Casa,"Rua Rodolfo Hickel, 567 - Canasvieiras, Florianópolis - SC",Rua Rodolfo Hickel,567.0, Canasvieiras,florianopolis,1700,Dia,0.0,155.0,4.0,4.0,4.0,https://vivareal.com.br/imovel/sobrado-4-quartos-canasvieiras-bairros-florianopolis-com-garagem-155m2-aluguel-RS1700-id-2639502357/,Perto de vias de acesso; Aceita animais; Ar-condicionado; Mobiliado; Varanda gourmet,Residencial,1700.0,10.96774193548387,0.0
15,2023-12-05 00:35:45.827100,Vivareal,2663352679,"Apartamento com 2 Quartos para Aluguel, 65m²",Apartamento,"Rua Capitão Romualdo de Barros, 965 - Carvoeira, Florianópolis - SC",Rua Capitão Romualdo de Barros,965.0, Carvoeira,florianopolis,2500,Mês,606.0,65.0,1.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-carvoeira-bairros-florianopolis-com-garagem-65m2-aluguel-RS2500-id-2663352679/,Mobiliado; Elevador; Aceita animais; Salão de festas; Bicicletário; ...,Residencial,3106.0,38.46153846153846,9.323076923076924
16,2023-12-05 00:35:45.828329,Vivareal,2667146625,"Apartamento com 2 Quartos para Aluguel, 85m²",Apartamento,"Rua Martinho de Haro - Ingleses do Rio Vermelho, Florianópolis - SC",Rua Martinho de Haro ,, Ingleses do Rio Vermelho,florianopolis,2500,Mês,263.0,85.0,1.0,2.0,2.0,https://vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-85m2-aluguel-RS2500-id-2667146625/,Ar-condicionado; Churrasqueira; Garagem; Mobiliado; Aceita animais,Residencial,2763.0,29.41176470588235,3.0941176470588236
17,2023-12-05 00:35:45.829605,Vivareal,2663423402,"Casa com 3 Quartos para Aluguel, 200m²",Casa,"Rodovia Virgílio Várzea, 4690 - Canasvieiras, Florianópolis - SC",Rodovia Virgílio Várzea,4690.0, Canasvieiras,florianopolis,1600,Dia,0.0,200.0,3.0,3.0,2.0,https://vivareal.com.br/imovel/casa-de-condominio-3-quartos-canasvieiras-bairros-florianopolis-com-garagem-200m2-aluguel-RS1600-id-2663423402/,Mobiliado; Ar-condicionado; Playground; Churrasqueira na varanda; Armário embutido; ...,Residencial,1600.0,8.0,0.0
18,2023-12-05 00:35:45.831090,Vivareal,2665915993,"Sala/Conjunto    para Aluguel, 45m²",Sala/Conjunto,"Rua Vidal Ramos, 263 - Centro, Florianópolis - SC",Rua Vidal Ramos,263.0, Centro,florianopolis,990,Mês,0.0,45.0,,,,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-45m2-aluguel-RS990-id-2665915993/,,Residencial,990.0,22.0,0.0
19,2023-12-05 00:35:45.832481,Vivareal,2664530229,"Sala/Conjunto    para Aluguel, 23m²",Sala/Conjunto,"Rua Cyro Belli Müller, 33 - Santa Mônica, Florianópolis - SC",Rua Cyro Belli Müller,33.0, Santa Mônica,florianopolis,1450,Mês,0.0,23.0,,,,https://vivareal.com.br/imovel/sala-comercial-santa-monica-bairros-florianopolis-23m2-aluguel-RS1450-id-2664530229/,,Residencial,1450.0,63.04347826086956,0.0
20,2023-12-05 00:35:45.833724,Vivareal,2664501915,"Apartamento com 3 Quartos para Aluguel, 110m²",Apartamento,"Rua Lauro Linhares, 1520 - Trindade, Florianópolis - SC",Rua Lauro Linhares,1520.0, Trindade,florianopolis,2900,Mês,750.0,110.0,2.0,3.0,1.0,https://vivareal.com.br/imovel/apartamento-3-quartos-trindade-bairros-florianopolis-com-garagem-110m2-aluguel-RS2900-id-2664501915/,Elevador; Condomínio fechado; Varanda; Varanda gourmet; Salão de festas; ...,Residencial,3650.0,26.363636363636363,6.818181818181818
21,2023-12-05 00:35:45.834957,Vivareal,2667148207,"Casa com 2 Quartos para Aluguel, 180m²",Casa,"Rua Juvan Rocha - Agronômica, Florianópolis - SC",Rua Juvan Rocha ,, Agronômica,florianopolis,3900,Mês,0.0,180.0,2.0,2.0,1.0,https://vivareal.com.br/imovel/casa-2-quartos-agronomica-bairros-florianopolis-com-garagem-180m2-aluguel-RS3900-id-2667148207/,Ar-condicionado; Churrasqueira; Garagem; Aceita animais,Residencial,3900.0,21.666666666666668,0.0
22,2023-12-05 00:35:45.836151,Vivareal,2662754470,"Apartamento com 3 Quartos para Aluguel, 56m²",Apartamento,"Rua Desembargador Pedro Silva, 2202 - Coqueiros, Florianópolis - SC",Rua Desembargador Pedro Silva,2202.0, Coqueiros,florianopolis,1800,Mês,481.0,56.0,1.0,3.0,2.0,https://vivareal.com.br/imovel/apartamento-3-quartos-coqueiros-bairros-florianopolis-com-garagem-56m2-aluguel-RS1800-id-2662754470/,Playground; Quadra poliesportiva; Interfone; Área de serviço,Residencial,2281.0,32.142857142857146,8.589285714285714
23,2023-12-05 00:35:45.837314,Vivareal,2542878146,"Sala/Conjunto    para Aluguel, 6m²",Sala/Conjunto,"Rua Vidal Ramos, 86 - Centro, Florianópolis - SC",Rua Vidal Ramos,86.0, Centro,florianopolis,700,Mês,0.0,6.0,1.0,,,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-6m2-aluguel-RS700-id-2542878146/,,Residencial,700.0,116.66666666666667,0.0
24,2023-12-05 00:35:45.838517,Vivareal,2666944831,"Apartamento com 3 Quartos para Aluguel, 75m²",Apartamento,"Rodovia Amaro Antônio Vieira, 2355 - Itacorubi, Florianópolis - SC",Rodovia Amaro Antônio Vieira,2355.0, Itacorubi,florianopolis,3000,Mês,875.0,75.0,1.0,3.0,2.0,https://vivareal.com.br/imovel/apartamento-3-quartos-itacorubi-bairros-florianopolis-com-garagem-75m2-aluguel-RS3000-id-2666944831/,Garagem; Condomínio fechado,Residencial,3875.0,40.0,11.666666666666666
25,2023-12-05 00:35:45.839712,Vivareal,2662094464,"Casa com 4 Quartos para Aluguel, 130m²",Casa,"Rua Madre Maria Vilac, 604 - Canasvieiras, Florianópolis - SC",Rua Madre Maria Vilac,604.0, Canasvieiras,florianopolis,2300,Dia,500.0,130.0,5.0,4.0,2.0,https://vivareal.com.br/imovel/casa-4-quartos-canasvieiras-bairros-florianopolis-com-garagem-130m2-aluguel-RS2300-id-2662094464/,Piscina; Mobiliado; Churrasqueira; Condomínio fechado; Varanda; ...,Residencial,2800.0,17.692307692307693,3.8461538461538463
26,2023-12-05 00:35:45.840903,Vivareal,2640840258,"Sala/Conjunto    para Aluguel, 25m²",Sala/Conjunto,"Rua Santos Saraiva, 840 - Estreito, Florianópolis - SC",Rua Santos Saraiva,840.0, Estreito,florianopolis,500,Mês,0.0,25.0,,,,https://vivareal.com.br/imovel/sala-comercial-estreito-bairros-florianopolis-25m2-aluguel-RS500-id-2640840258/,Elevador,Residencial,500.0,20.0,0.0
27,2023-12-05 00:35:45.842074,Vivareal,2665096265,"Ponto comercial/Loja/Box    para Aluguel, 75m²",Ponto,"Rua Kurt Rantour, 01 - Estreito, Florianópolis - SC",Rua Kurt Rantour,1.0, Estreito,florianopolis,1650,Mês,0.0,75.0,2.0,,2.0,https://vivareal.com.br/imovel/ponto-comercial-estreito-bairros-florianopolis-com-garagem-75m2-aluguel-RS1650-id-2665096265/,,Comercial,1650.0,22.0,0.0
28,2023-12-05 00:35:45.843232,Vivareal,2666987898,"Apartamento com 3 Quartos para Aluguel, 123m²",Apartamento,"Balneario do Estreito, Florianópolis - SC",,,Balneario do Estreito,florianopolis,3650,Mês,950.0,123.0,3.0,3.0,1.0,https://vivareal.com.br/imovel/apartamento-3-quartos-balneario-do-estreito-bairros-florianopolis-com-garagem-123m2-aluguel-RS3650-id-2666987898/,Ar-condicionado; Elevador; Vista para o mar; Salão de festas,Residencial,4600.0,29.67479674796748,7.723577235772358
29,2023-12-05 00:35:45.844950,Vivareal,2666217695,"Apartamento com 2 Quartos para Aluguel, 54m²",Apartamento,"Rua das Tainhotas, 133 - Jurerê, Florianópolis - SC",Rua das Tainhotas,133.0, Jurerê,florianopolis,2900,Mês,550.0,54.0,1.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-54m2-aluguel-RS2900-id-2666217695/,,Residencial,3450.0,53.7037037037037,10.185185185185185
30,2023-12-05 00:35:45.846201,Vivareal,2664759526,"Apartamento com  Quarto para Aluguel, 68m²",Apartamento,"Rua Capitão Américo, 96 - Córrego Grande, Florianópolis - SC",Rua Capitão Américo,96.0, Córrego Grande,florianopolis,3500,Mês,430.0,68.0,2.0,1.0,2.0,https://vivareal.com.br/imovel/apartamento-1-quartos-corrego-grande-bairros-florianopolis-com-garagem-68m2-aluguel-RS3500-id-2664759526/,Garagem,Residencial,3930.0,51.470588235294116,6.323529411764706
31,2023-12-05 00:35:45.847411,Vivareal,2662779670,"Apartamento com 2 Quartos para Aluguel, 70m²",Apartamento,"Rua Intendente João Nunes Vieira, 1715 - Ingleses do Rio Vermelho, Florianópolis - SC",Rua Intendente João Nunes Vieira,1715.0, Ingleses do Rio Vermelho,florianopolis,850,Mês,0.0,70.0,1.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-70m2-aluguel-RS850-id-2662779670/,Piscina; Mobiliado; Churrasqueira; Elevador; Varanda; ...,Residencial,850.0,12.142857142857142,0.0
32,2023-12-05 00:35:45.848655,Vivareal,2666903002,"Apartamento com 3 Quartos para Aluguel, 96m²",Apartamento,"Canto, Florianópolis - SC",,,Canto,florianopolis,4300,Mês,650.0,96.0,1.0,3.0,2.0,https://vivareal.com.br/imovel/apartamento-3-quartos-canto-bairros-florianopolis-com-garagem-96m2-aluguel-RS4300-id-2666903002/,,Residencial,4950.0,44.791666666666664,6.770833333333333
33,2023-12-05 00:35:45.849866,Vivareal,2666257702,"Apartamento com 2 Quartos para Aluguel, 60m²",Apartamento,"Rua Pedro Ivo, 171 - Centro, Florianópolis - SC",Rua Pedro Ivo,171.0, Centro,florianopolis,2700,Mês,541.0,60.0,1.0,2.0,,https://vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-60m2-aluguel-RS2700-id-2666257702/,,Residencial,3241.0,45.0,9.016666666666667
34,2023-12-05 00:35:45.851059,Vivareal,2648025005,"Sala/Conjunto    para Aluguel, 33m²",Sala/Conjunto,"Rua Elesbão Pinto da Luz, 85 - Jardim Atlântico, Florianópolis - SC",Rua Elesbão Pinto da Luz,85.0, Jardim Atlântico,florianopolis,1230,Mês,0.0,33.0,1.0,,,https://vivareal.com.br/imovel/sala-comercial-jardim-atlantico-bairros-florianopolis-33m2-aluguel-RS1230-id-2648025005/,Elevador; Interfone,Residencial,1230.0,37.27272727272727,0.0
35,2023-12-05 00:35:49.905233,Vivareal,2555644322,"Lote/Terreno    para Aluguel, 127m²",Lote/Terreno,"Rua Machado de Assis, 38 - Estreito, Florianópolis - SC",Rua Machado de Assis,38.0, Estreito,florianopolis,1500,Mês,0.0,127.0,,,,https://vivareal.com.br/imovel/lote-terreno-estreito-bairros-florianopolis-127m2-aluguel-RS1500-id-2555644322/,,Residencial,1500.0,11.811023622047244,0.0
36,2023-12-05 00:35:49.906945,Vivareal,2666479096,"Sala/Conjunto    para Aluguel, 46m²",Sala/Conjunto,"Saco Grande, Florianópolis - SC",,,Saco Grande,florianopolis,1200,Mês,0.0,46.0,,,1.0,https://vivareal.com.br/imovel/sala-comercial-saco-grande-bairros-florianopolis-com-garagem-46m2-aluguel-RS1200-id-2666479096/,Escritório; Garagem,Residencial,1200.0,26.08695652173913,0.0
37,2023-12-05 00:35:49.908251,Vivareal,2661279654,"Apartamento com 2 Quartos para Aluguel, 78m²",Apartamento,"Rua Nivaldo Dias, 105 - Campeche, Florianópolis - SC",Rua Nivaldo Dias,105.0, Campeche,florianopolis,5500,Mês,490.0,78.0,2.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-campeche-bairros-florianopolis-com-garagem-78m2-aluguel-RS5500-id-2661279654/,Ar-condicionado; Elevador; Mobiliado; Salão de festas; Varanda gourmet,Residencial,5990.0,70.51282051282051,6.282051282051282
38,2023-12-05 00:35:49.909513,Vivareal,2641921938,"Sala/Conjunto    para Aluguel, 24m²",Sala/Conjunto,"Canto, Florianópolis - SC",,,Canto,florianopolis,1705,Mês,0.0,24.0,1.0,,1.0,https://vivareal.com.br/imovel/sala-comercial-canto-bairros-florianopolis-com-garagem-24m2-aluguel-RS1705-id-2641921938/,Escritório,Residencial,1705.0,71.04166666666667,0.0
39,2023-12-05 00:35:49.910757,Vivareal,2596346953,"Sala/Conjunto    para Aluguel, 18m²",Sala/Conjunto,"Rua Vidal Ramos, 86 - Centro, Florianópolis - SC",Rua Vidal Ramos,86.0, Centro,florianopolis,700,Mês,0.0,18.0,,,,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-18m2-aluguel-RS700-id-2596346953/,,Residencial,700.0,38.888888888888886,0.0
40,2023-12-05 00:35:49.911981,Vivareal,2499498310,"Sala/Conjunto    para Aluguel, 64m²",Sala/Conjunto,"Rua General Liberato Bittencourt, 1475 - Canto, Florianópolis - SC",Rua General Liberato Bittencourt,1475.0, Canto,florianopolis,3850,Mês,0.0,64.0,1.0,,1.0,https://vivareal.com.br/imovel/sala-comercial-canto-bairros-florianopolis-com-garagem-64m2-aluguel-RS3850-id-2499498310/,Elevador; Academia; Interfone,Residencial,3850.0,60.15625,0.0
41,2023-12-05 00:35:49.913218,Vivareal,2661653964,"Sala/Conjunto    para Aluguel, 70m²",Sala/Conjunto,"Rua Lauro Linhares - Coqueiros, Florianópolis - SC",Rua Lauro Linhares ,, Coqueiros,florianopolis,2750,Mês,0.0,70.0,1.0,,1.0,https://vivareal.com.br/imovel/coqueiros-bairros-florianopolis-com-garagem-70m2-aluguel-RS2750-id-2661653964/,Garagem; Cozinha,Residencial,2750.0,39.285714285714285,0.0
42,2023-12-05 00:35:49.914439,Vivareal,2664256136,"Casa com 5 Quartos para Aluguel, 215m²",Casa,"Rua Libia Cruz, 373 - Estreito, Florianópolis - SC",Rua Libia Cruz,373.0, Estreito,florianopolis,5800,Mês,0.0,215.0,3.0,5.0,3.0,https://vivareal.com.br/imovel/casa-5-quartos-estreito-bairros-florianopolis-com-garagem-215m2-aluguel-RS5800-id-2664256136/,Armário na cozinha; Edícula; Lavanderia; Quintal,Residencial,5800.0,26.976744186046513,0.0
43,2023-12-05 00:35:49.915662,Vivareal,2628630843,"Apartamento com 2 Quartos para Aluguel, 70m²",Apartamento,"Rua Morro das Feiticeiras, 333 - Ingleses do Rio Vermelho, Florianópolis - SC",Rua Morro das Feiticeiras,333.0, Ingleses do Rio Vermelho,florianopolis,4200,Mês,380.0,70.0,2.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-70m2-aluguel-RS4200-id-2628630843/,Mobiliado; Churrasqueira; Elevador; Jardim; Playground; ...,Residencial,4580.0,60.0,5.428571428571429
44,2023-12-05 00:35:49.916878,Vivareal,2653070424,Apartamento com 3 Quartos para Venda/Aluguel 87m²,Apartamento,"Rua Orlando Odilio Koerich, 324 - Jardim Atlântico, Florianópolis - SC",Rua Orlando Odilio Koerich,324.0, Jardim Atlântico,florianopolis,4200,Mês,1178.0,87.0,2.0,3.0,,https://vivareal.com.br/imovel/apartamento-3-quartos-jardim-atlantico-bairros-florianopolis-87m2-venda-RS1194000-id-2653070424/,Elevador; Garagem; Jardim; Área de serviço; Playground; ...,Residencial,5378.0,48.275862068965516,13.540229885057471
45,2023-12-05 00:35:49.918072,Vivareal,2554410833,"Sala/Conjunto    para Aluguel, 36m²",Sala/Conjunto,"Rua Lauro Linhares - Trindade, Florianópolis - SC",Rua Lauro Linhares ,, Trindade,florianopolis,1905,Mês,0.0,36.0,1.0,,1.0,https://vivareal.com.br/imovel/sala-comercial-trindade-bairros-florianopolis-com-garagem-36m2-aluguel-RS1905-id-2554410833/,Elevador,Residencial,1905.0,52.916666666666664,0.0
46,2023-12-05 00:35:49.919281,Vivareal,2666575505,"Apartamento com 2 Quartos para Aluguel, 70m²",Apartamento,"Itacorubi, Florianópolis - SC",,,Itacorubi,florianopolis,4100,Mês,815.0,70.0,2.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-70m2-aluguel-RS4100-id-2666575505/,Mobiliado; Elevador; Academia; Espaço gourmet; Ar-condicionado; ...,Residencial,4915.0,58.57142857142857,11.642857142857142
47,2023-12-05 00:35:49.920499,Vivareal,2666236905,"Sala/Conjunto    para Aluguel, 63m²",Sala/Conjunto,"Joao Paulo, Florianópolis - SC",,,Joao Paulo,florianopolis,3753,Mês,0.0,63.0,1.0,,1.0,https://vivareal.com.br/imovel/sala-comercial-joao-paulo-bairros-florianopolis-com-garagem-63m2-aluguel-RS3753-id-2666236905/,Garagem,Residencial,3753.0,59.57142857142857,0.0
48,2023-12-05 00:35:49.921717,Vivareal,2666948099,"Apartamento com 3 Quartos para Aluguel, 116m²",Apartamento,"Avenida Jornalista Rubens de Arruda Ramos, 990 - Centro, Florianópolis - SC",Avenida Jornalista Rubens de Arruda Ramos,990.0, Centro,florianopolis,6500,Mês,1160.0,116.0,2.0,3.0,1.0,https://vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-116m2-aluguel-RS6500-id-2666948099/,Área de serviço,Residencial,7660.0,56.03448275862069,10.0
49,2023-12-05 00:35:49.922852,Vivareal,2655835612,"Apartamento com 3 Quartos para Aluguel, 81m²",Apartamento,"Rua da Capela, 179 - Campeche, Florianópolis - SC",Rua da Capela,179.0, Campeche,florianopolis,5250,Mês,685.0,81.0,2.0,3.0,2.0,https://vivareal.com.br/imovel/apartamento-3-quartos-campeche-bairros-florianopolis-com-garagem-81m2-aluguel-RS5250-id-2655835612/,Salão de festas; Elevador; Quadra poliesportiva; Piscina; Jardim,Residencial,5935.0,64.81481481481481,8.45679012345679
50,2023-12-05 00:35:49.924047,Vivareal,2652846619,"Apartamento com  Quarto para Aluguel, 36m²",Apartamento,"Rua das Acácias - Carvoeira, Florianópolis - SC",Rua das Acácias ,, Carvoeira,florianopolis,2800,Mês,400.0,36.0,1.0,1.0,1.0,https://vivareal.com.br/imovel/apartamento-1-quartos-carvoeira-bairros-florianopolis-com-garagem-36m2-aluguel-RS2800-id-2652846619/,,Residencial,3200.0,77.77777777777777,11.11111111111111
51,2023-12-05 00:35:49.925219,Vivareal,2661653972,"Sala/Conjunto    para Aluguel, 40m²",Sala/Conjunto,"Avenida Prefeito Osmar Cunha - Centro, Florianópolis - SC",Avenida Prefeito Osmar Cunha ,, Centro,florianopolis,1300,Mês,0.0,40.0,1.0,,,https://vivareal.com.br/imovel/centro-bairros-florianopolis-40m2-aluguel-RS1300-id-2661653972/,Cozinha,Residencial,1300.0,32.5,0.0
52,2023-12-05 00:35:49.926440,Vivareal,2658716712,Apartamento com 2 Quartos para Venda/Aluguel 73m²,Apartamento,"Rua Silvio Lopes Araújo, 465 - Rio Tavares, Florianópolis - SC",Rua Silvio Lopes Araújo,465.0, Rio Tavares,florianopolis,5500,Mês,500.0,73.0,3.0,2.0,2.0,https://vivareal.com.br/imovel/apartamento-2-quartos-rio-tavares-bairros-florianopolis-com-garagem-73m2-venda-RS1200000-id-2658716712/,Mobiliado; Churrasqueira; Academia; Ar-condicionado; Área de serviço; ...,Residencial,6000.0,75.34246575342466,6.8493150684931505
53,2023-12-05 00:35:49.927663,Vivareal,2651072859,"Casa com 5 Quartos para Aluguel, 670m²",Casa,"Rua dos Tucunarés, 205 - Jurerê Internacional, Florianópolis - SC",Rua dos Tucunarés,205.0, Jurerê Internacional,florianopolis,27000,Mês,0.0,670.0,8.0,5.0,6.0,https://vivareal.com.br/imovel/casa-5-quartos-jurere-internacional-bairros-florianopolis-com-garagem-670m2-aluguel-RS27000-id-2651072859/,Piscina; Mobiliado; Churrasqueira; Varanda; Quintal; ...,Residencial,27000.0,40.298507462686565,0.0
